question,answer,gt_context,gt_file,distractor_context,distractor_answer,distractor_file
소아에서 emergence delirium(ED)의 위험 인자는 무엇인가요?,"##Reason: 문서에서 ##begin_quote## The risk factors for ED include rapid emergence from anesthesia, short acting volatile agents, type of surgery, age, preoperative anxiety, and postoperative pain ##end_quote## 라고 명시되어 있습니다. 또한, 소아의 기질(temperament)도 언급되고 있습니다.
<ANSWER>: 소아에서 emergence delirium(ED)의 위험 인자는 마취로부터의 빠른 회복, 단시간 작용 휘발성 마취제 사용, 수술 종류, 연령, 수술 전 불안, 수술 후 통증, 그리고 소아의 기질 등이 있습니다.","['The risk factors for ED include rapid emergence from anesthesia, short acting volatile agents, type of surgery, age, preoperative anxiety, and postoperative pain [1].', 'Risk factors for ED in pediatric patients include rapid emergence from anesthesia, use of short-acting volatile anesthetic agents, type of surgery, age, preoperative anxiety, and child temperament [1].']",APM-14-280.md,"['The pathophysiology of EA is unclear, but low patient age and use of volatile anesthetics with low solubility are major contributing factors.', 'In addition to low patient age and use of sevoflurane, preoperative anxiety is a contributing factor to EA.']","##Reason: 문서의 ##begin_quote## The pathophysiology of EA is unclear, but low patient age and use of volatile anesthetics with low solubility are major contributing factors. In addition to low patient age and use of sevoflurane, preoperative anxiety is a contributing factor to EA. ##end_quote## 라는 설명에 따라, 낮은 연령, 저용해성 흡입마취제(세보플루란) 사용, 수술 전 불안 등이 EA 발생에 영향을 줄 수 있습니다.
<ANSWER>: 세보플루란 진정 시 EA 발생에 영향을 주는 요인으로는 낮은 연령, 세보플루란과 같은 저용해성 흡입마취제 사용, 그리고 수술 전 불안이 있습니다.",APM-14-434.md
"소아에서 PAED scale을 이용한 ED 진단 시 cut-off 값은 어떻게 설정되며, 이에 대한 한계점은 무엇인가요?","##Reason: 문서에 따르면 ##begin_quote## Most studies have used PAED cut-offs of 10 or 12 in ED diagnosis... Although the PAED scale was used to measure emergence agitation, no consensus has been reached regarding an appropriate cut-off value on this scale ##end_quote## 라고 하여, 일반적으로 10 또는 12를 cut-off로 사용하지만, 명확한 합의는 없음을 알 수 있습니다.
<ANSWER>: 소아에서 PAED scale을 이용한 ED 진단 시 일반적으로 10 또는 12를 cut-off 값으로 사용하지만, 이에 대한 명확한 합의는 없어 진단 기준에 한계가 있습니다.","['The ED defined PAED scale on arrival at the PACU > 10.', 'Most studies have used PAED cut-offs of 10 or 12 in ED diagnosis [17,25,26]. We have defined 10 as the cut off value, but even with the more strict value of 12, we found that BPB lowered the incidence of ED.', 'Although the PAED scale was used to measure emergence agitation, no consensus has been reached regarding an appropriate cut-off value on this scale [11,25].']",APM-14-280.md,"['The primary outcome, PAED scale at arrival in the PACU, was significantly lower in the BPB group than in the Opioid group (7.2 土 4.9 vs. 11.6 土 3.2; mean difference between groups = 4.4; 95% confidence interval [95% CI], 2.0-6.8, P < 0.001).', 'The ED rate was also significantly lower in the BPB than in the Opioid group (36% [9/25] vs. 72% [18/25], relative risk = 0.438; 95% CI, 0.219-0.876, P = 0.023).']","##Reason: 문서에 따르면 ##begin_quote## The primary outcome, PAED scale at arrival in the PACU, was significantly lower in the BPB group than in the Opioid group... The ED rate was also significantly lower in the BPB than in the Opioid group (36% vs. 72%) ##end_quote## 라고 하여, BPB가 ED의 발생률과 중증도를 모두 유의하게 감소시킴을 알 수 있습니다.
<ANSWER>: 소아에서 BPB는 IV fentanyl에 비해 ED의 발생률(36% vs. 72%)과 중증도를 모두 유의하게 감소시킵니다.",APM-14-280.md
소아 상완신경총 차단(BPB) 시 ropivacaine의 권장 농도와 용량은 어떻게 되나요?,"##Reason: 문서에서 ##begin_quote## patients in the BPB group were administered 0.2% ropivacaine (0.5 ml/kg) under ultrasound guidance using a supraclavicular approach ##end_quote## 라고 명확히 기술되어 있습니다.
<ANSWER>: 소아 상완신경총 차단 시 ropivacaine의 권장 농도는 0.2%, 용량은 0.5 ml/kg입니다.","['Immediately after induction of general anesthesia, patients in the BPB group were administered 0.2% ropivacaine (0.5 ml/kg) under ultrasound guidance using a supraclavicular approach (i.e., into the intersection between the first rib and the subclavian artery)...']",APM-14-280.md,"['Before induction of anesthesia, all pediatric patients were sedated with intravenous thiopental sodium (5 mg/kg) or propofol (2 mg/kg) and were taken to the operating room.', 'Following muscle relaxation with rocuronium (0.6 mg/kg) and mask ventilation for 90 s, the i-gel or deflated AuraGain which were lubricated with 2% lidocaine jelly was gently inserted into the oropharynx by a single experienced anesthesiologist (L.J.H), according to group allocation.']","##Reason: 문서에 따르면 ##begin_quote## all pediatric patients were sedated with intravenous thiopental sodium (5 mg/kg) or propofol (2 mg/kg) ... Following muscle relaxation with rocuronium (0.6 mg/kg) and mask ventilation for 90 s, the i-gel or deflated AuraGain ... was gently inserted ##end_quote## 라고 하였습니다. 이는 충분한 진정과 근이완을 통해 기도 삽입 시 저항을 줄이고, 기도 손상 및 합병증을 예방하기 위함입니다.
<ANSWER>: 소아에서 AuraGain과 i-gel 삽입 시 thiopental 5 mg/kg 또는 propofol 2 mg/kg으로 진정 후, rocuronium 0.6 mg/kg을 투여하여 근이완을 유도합니다. 이는 기도 삽입 시 저항을 최소화하고 안전한 삽입을 위해 필요합니다.",apm-2020-15-2-173.md
"소아에서 BPB와 IV fentanyl을 비교할 때, ED 발생률과 중증도에 어떤 차이가 있나요?","##Reason: 문서에 따르면 ##begin_quote## The primary outcome, PAED scale at arrival in the PACU, was significantly lower in the BPB group than in the Opioid group... The ED rate was also significantly lower in the BPB than in the Opioid group (36% vs. 72%) ##end_quote## 라고 하여, BPB가 ED의 발생률과 중증도를 모두 유의하게 감소시킴을 알 수 있습니다.
<ANSWER>: 소아에서 BPB는 IV fentanyl에 비해 ED의 발생률(36% vs. 72%)과 중증도를 모두 유의하게 감소시킵니다.","['The primary outcome, PAED scale at arrival in the PACU, was significantly lower in the BPB group than in the Opioid group (7.2 土 4.9 vs. 11.6 土 3.2; mean difference between groups = 4.4; 95% confidence interval [95% CI], 2.0-6.8, P < 0.001).', 'The ED rate was also significantly lower in the BPB than in the Opioid group (36% [9/25] vs. 72% [18/25], relative risk = 0.438; 95% CI, 0.219-0.876, P = 0.023).']",APM-14-280.md,"['The Kaplan-Meier survival analysis showed that the time to first rescue analgesic request was significantly longer in the BPB than in the Opioid group (7 vs. 2 h; hazard ratio = 2.01; 95% CI, 1.01-4.02, P = 0.048; Fig. 3)']","##Reason: 문서에 따르면 ##begin_quote## the time to first rescue analgesic request was significantly longer in the BPB than in the Opioid group (7 vs. 2 h) ##end_quote## 라고 하여, BPB군에서 추가 진통제 요청까지의 시간이 더 길었음을 알 수 있습니다.
<ANSWER>: BPB군은 첫 추가 진통제 요청까지의 시간이 7시간으로, IV fentanyl군의 2시간보다 유의하게 더 깁니다.",APM-14-280.md
소아에서 BPB 시행 시 성공 여부는 어떻게 판단하나요?,"##Reason: 문서에 따르면 ##begin_quote## The block was deemed successful if, at the time the arm was tractioned or pinned to start surgery, the heart rate had not changed more than 20% ##end_quote## 라고 하여, 수술 시작 시 심박수 변화로 성공 여부를 평가함을 알 수 있습니다.
<ANSWER>: BPB 시행 시 수술 시작(견인 또는 pinning) 시점에 심박수가 20% 이상 변하지 않으면 성공으로 판단합니다.","['The block was deemed successful if, at the time the arm was tractioned or pinned to start surgery, the heart rate had not changed more than 20%.']",APM-14-280.md,"['The incidence of cardiac arrest decreased from 18.3% (8.5 cases per 10,000 anesthetics) in 2008-2013 to 8.5% (4.7 cases per 10,000 anesthetics) in 2014-2019 (mean difference, -9.8%; 95% CI, -15.7 to -3.7%; P = 0.020).', 'Even though the incidence of overall critical events did not reduce, there was a significant decrease in the incidence of cardiac arrest. This suggests that severe complications may be prevented through early detection of critical incidents, as well as prompt and appropriate treatment on their occurrence.']","##Reason: 문서에서 ##begin_quote## The incidence of cardiac arrest decreased from 18.3% (8.5 cases per 10,000 anesthetics) in 2008-2013 to 8.5% (4.7 cases per 10,000 anesthetics) in 2014-2019 ##end_quote## 라고 하였고, 이는 중증 합병증의 조기 발견과 신속한 처치가 심정지 감소에 기여했음을 시사합니다.
<ANSWER>: 소아 마취 중 심정지 발생률은 10,000건당 8.5건에서 4.7건으로 유의하게 감소하였으며, 이는 조기 발견과 신속한 처치가 심각한 합병증 예방에 효과적임을 의미합니다.",apm-22164.md
"소아에서 BPB와 IV fentanyl 사용 시, 회복실(PACU)에서 추가 진통제 필요 환자 비율은 어떻게 되나요?","##Reason: 문서에서 ##begin_quote## The number of patients requiring rescue analgesics in the PACU was significantly lower in the BPB than in the Opioid group (2 [8%] vs.12 [48%], P = 0.005) ##end_quote## 라고 하여, 두 군 간의 차이가 명확히 제시되어 있습니다.
<ANSWER>: 소아에서 BPB 시행군은 회복실에서 추가 진통제 필요 환자 비율이 8%로, IV fentanyl군의 48%에 비해 유의하게 낮습니다.","['The number of patients requiring rescue analgesics in the PACU was significantly lower in the BPB than in the Opioid group (2 [8%] vs.12 [48%], P = 0.005)']",APM-14-280.md,"['Although BPB is effective in controlling acute pain, we observed no difference in the frequency of analgesics required over the first 24 h postoperative, which may have been due to the small sample size.', 'The number of patients requiring rescue analgesics in the ward did not differ (Table 3).']","##Reason: 문서에서 ##begin_quote## we observed no difference in the frequency of analgesics required over the first 24 h postoperative ##end_quote## 라고 하여, 24시간 이내 추가 진통제 필요 환자 비율에 차이가 없음을 알 수 있습니다.
<ANSWER>: BPB와 IV fentanyl 사용 시 24시간 이내 추가 진통제 필요 환자 비율에는 유의한 차이가 없습니다.",APM-14-280.md
"BPB와 IV fentanyl 사용 시, 첫 추가 진통제 요청까지의 시간 차이는 어떻게 되나요?","##Reason: 문서에 따르면 ##begin_quote## the time to first rescue analgesic request was significantly longer in the BPB than in the Opioid group (7 vs. 2 h) ##end_quote## 라고 하여, BPB군에서 추가 진통제 요청까지의 시간이 더 길었음을 알 수 있습니다.
<ANSWER>: BPB군은 첫 추가 진통제 요청까지의 시간이 7시간으로, IV fentanyl군의 2시간보다 유의하게 더 깁니다.","['The Kaplan-Meier survival analysis showed that the time to first rescue analgesic request was significantly longer in the BPB than in the Opioid group (7 vs. 2 h; hazard ratio = 2.01; 95% CI, 1.01-4.02, P = 0.048; Fig. 3)']",APM-14-280.md,"['The primary outcome, PAED scale at arrival in the PACU, was significantly lower in the BPB group than in the Opioid group (7.2 土 4.9 vs. 11.6 土 3.2; mean difference between groups = 4.4; 95% confidence interval [95% CI], 2.0-6.8, P < 0.001).', 'The ED rate was also significantly lower in the BPB than in the Opioid group (36% [9/25] vs. 72% [18/25], relative risk = 0.438; 95% CI, 0.219-0.876, P = 0.023).']","##Reason: 문서에 따르면 ##begin_quote## The primary outcome, PAED scale at arrival in the PACU, was significantly lower in the BPB group than in the Opioid group... The ED rate was also significantly lower in the BPB than in the Opioid group (36% vs. 72%) ##end_quote## 라고 하여, BPB가 ED의 발생률과 중증도를 모두 유의하게 감소시킴을 알 수 있습니다.
<ANSWER>: 소아에서 BPB는 IV fentanyl에 비해 ED의 발생률(36% vs. 72%)과 중증도를 모두 유의하게 감소시킵니다.",APM-14-280.md
소아에서 BPB 시행 시 초음파 유도법의 장점은 무엇인가요?,"##Reason: 문서에서 ##begin_quote## Ultrasonography, in particular, allows peripheral nerve block to be safely performed in pediatric patients... ultrasound guided BPB increases block success rates and improves block quality, as evaluated by block onset, duration and opioid consumption ##end_quote## 라고 하여, 초음파 유도법의 안전성과 효율성이 강조되고 있습니다.
<ANSWER>: 소아에서 초음파 유도 BPB는 시술의 안전성을 높이고, 차단 성공률 및 차단의 질(발현, 지속시간, 진통제 필요량 감소)을 향상시키는 장점이 있습니다.","['Ultrasonography, in particular, allows peripheral nerve block to be safely performed in pediatric patients, leading to increases in the numbers of children administered regional anesthesia [9,10].', 'In pediatric patients, ultrasound guided BPB increases block success rates and improves block quality, as evaluated by block onset, duration and opioid consumption, making BPB excellent for post-operative pain control [9,24].']",APM-14-280.md,"['Although most of the nociception monitoring devices still lack studies with pediatric patients, most nociception monitors in children (as in adults) appear to be more useful than the standard clinical practice that uses hemodynamic parameters in the evaluation and treatment of intraoperative nociception during general anesthesia.', 'SPI, ANI, and pupillometry may be useful for evaluating the effects of regional analgesia performed during general anesthesia.']","##Reason: 문서에서는 ##begin_quote## most nociception monitors in children (as in adults) appear to be more useful than the standard clinical practice that uses hemodynamic parameters in the evaluation and treatment of intraoperative nociception during general anesthesia ##end_quote##, 그리고 ##begin_quote## SPI, ANI, and pupillometry may be useful for evaluating the effects of regional analgesia performed during general anesthesia ##end_quote## 라고 하여, 기존 혈역학적 지표보다 더 효과적으로 통증을 평가할 수 있음을 알 수 있습니다.
<ANSWER>: 소아 전신마취 중 SPI, ANI, pupillometry는 기존 혈압·심박수 등 혈역학적 지표보다 통증 평가와 진통 효과 판정에 더 효과적이며, 신경차단 효과 평가에도 유용합니다.",APM-14-380.md
"소아에서 PAED scale의 항목 중 ED 진단에 더 특이적인 항목은 무엇이며, 그 이유는 무엇인가요?","##Reason: 문서에 따르면 ##begin_quote## the last two item on the PAED scale (restlessness and inconsolability) may reflect pain. Thus, delirium specific first three items on the PAED scale (eye contact, purposeful actions, awareness of surroundings) highly correlated with ED ##end_quote## 라고 하여, 앞의 세 항목이 ED에 더 특이적임을 알 수 있습니다.
<ANSWER>: PAED scale의 '눈맞춤', '목적 있는 행동', '주위 인식'의 세 항목이 ED 진단에 더 특이적이며, 이는 나머지 두 항목(안절부절, 달래지지 않음)이 통증에 의한 행동일 수 있기 때문입니다.","['It is difficult to completely distinguish ED from pain-induced behavior by PAED scale. Although PAED scale is known to be a representative and useful tool for ED diagnosis, the last two item on the PAED scale (restlessness and inconsolability) may reflect pain. Thus, delirium specific first three items on the PAED scale (eye contact, purposeful actions, awareness of surroundings) highly correlated with ED [17].']",APM-14-280.md,"['The ED defined PAED scale on arrival at the PACU > 10.', 'Most studies have used PAED cut-offs of 10 or 12 in ED diagnosis [17,25,26]. We have defined 10 as the cut off value, but even with the more strict value of 12, we found that BPB lowered the incidence of ED.', 'Although the PAED scale was used to measure emergence agitation, no consensus has been reached regarding an appropriate cut-off value on this scale [11,25].']","##Reason: 문서에 따르면 ##begin_quote## Most studies have used PAED cut-offs of 10 or 12 in ED diagnosis... Although the PAED scale was used to measure emergence agitation, no consensus has been reached regarding an appropriate cut-off value on this scale ##end_quote## 라고 하여, 일반적으로 10 또는 12를 cut-off로 사용하지만, 명확한 합의는 없음을 알 수 있습니다.
<ANSWER>: 소아에서 PAED scale을 이용한 ED 진단 시 일반적으로 10 또는 12를 cut-off 값으로 사용하지만, 이에 대한 명확한 합의는 없어 진단 기준에 한계가 있습니다.",APM-14-280.md
"소아에서 BPB와 IV fentanyl 사용 시, 24시간 이내 추가 진통제 필요 환자 비율에 차이가 있나요?","##Reason: 문서에서 ##begin_quote## we observed no difference in the frequency of analgesics required over the first 24 h postoperative ##end_quote## 라고 하여, 24시간 이내 추가 진통제 필요 환자 비율에 차이가 없음을 알 수 있습니다.
<ANSWER>: BPB와 IV fentanyl 사용 시 24시간 이내 추가 진통제 필요 환자 비율에는 유의한 차이가 없습니다.","['Although BPB is effective in controlling acute pain, we observed no difference in the frequency of analgesics required over the first 24 h postoperative, which may have been due to the small sample size.', 'The number of patients requiring rescue analgesics in the ward did not differ (Table 3).']",APM-14-280.md,"['The number of patients requiring rescue analgesics in the PACU was significantly lower in the BPB than in the Opioid group (2 [8%] vs.12 [48%], P = 0.005)']","##Reason: 문서에서 ##begin_quote## The number of patients requiring rescue analgesics in the PACU was significantly lower in the BPB than in the Opioid group (2 [8%] vs.12 [48%], P = 0.005) ##end_quote## 라고 하여, 두 군 간의 차이가 명확히 제시되어 있습니다.
<ANSWER>: 소아에서 BPB 시행군은 회복실에서 추가 진통제 필요 환자 비율이 8%로, IV fentanyl군의 48%에 비해 유의하게 낮습니다.",APM-14-280.md
